id_ibge,nc,votos,prop
1200179,LÉO PÉRICLES,0,0.0
1200179,PADRE KELMON,0,0.0
1200807,JAIR BOLSONARO,7062,68.83711862754654
1200807,LULA,2490,24.271371478701628
1200807,SIMONE TEBET,463,4.513110439613997
1200807,CIRO GOMES,168,1.637586509406375
1200807,SORAYA THRONICKE,53,0.5166195535627255
1200807,FELIPE D'AVILA,12,0.11697046495759822
1200807,PADRE KELMON,6,0.05848523247879911
1200807,SOFIA MANZANO,3,0.029242616239399555
1200807,VERA,1,0.009747538746466517
1200807,EYMAEL,1,0.009747538746466517
1200807,LÉO PÉRICLES,0,0.0
1200708,JAIR BOLSONARO,5142,54.93589743589744
1200708,LULA,3774,40.320512820512825
1200708,SIMONE TEBET,219,2.33974358974359
1200708,CIRO GOMES,168,1.7948717948717947
1200708,SORAYA THRONICKE,44,0.4700854700854701
1200708,FELIPE D'AVILA,6,0.0641025641025641
1200708,SOFIA MANZANO,3,0.03205128205128205
1200708,PADRE KELMON,2,0.021367521367521368
1200708,VERA,1,0.010683760683760684
1200708,LÉO PÉRICLES,1,0.010683760683760684
1200708,EYMAEL,0,0.0
1200252,JAIR BOLSONARO,6494,67.18394372025656
1200252,LULA,2592,26.81564245810056
1200252,SIMONE TEBET,377,3.9002689840678664
1200252,CIRO GOMES,142,1.469066832195324
1200252,SORAYA THRONICKE,46,0.4758948893027105
1200252,PADRE KELMON,6,0.06207324643078833
1200252,FELIPE D'AVILA,4,0.04138216428719222
1200252,VERA,2,0.02069108214359611
1200252,SOFIA MANZANO,2,0.02069108214359611
1200252,LÉO PÉRICLES,1,0.010345541071798055
1200252,EYMAEL,0,0.0
2709202,LULA,9935,76.25297413462276
2709202,JAIR BOLSONARO,2204,16.91611021567273
2709202,SIMONE TEBET,525,4.029472714713331
2709202,CIRO GOMES,271,2.0799754394044054
2709202,SORAYA THRONICKE,75,0.5756389592447617
2709202,PADRE KELMON,9,0.0690766751093714
2709202,FELIPE D'AVILA,7,0.05372630286284442
2709202,VERA,2,0.015350372246526977
2709202,LÉO PÉRICLES,1,0.0076751861232634885
2709202,EYMAEL,0,0.0
2709202,SOFIA MANZANO,0,0.0
2704302,JAIR BOLSONARO,240053,49.59004286525848
2704302,LULA,195714,40.4305118008573
2704302,SIMONE TEBET,25840,5.33801580333626
2704302,CIRO GOMES,15549,3.212105562154625
2704302,SORAYA THRONICKE,3826,0.7903733925528069
2704302,FELIPE D'AVILA,1438,0.29706140577389867
2704302,PADRE KELMON,1010,0.20864535454216804
2704302,LÉO PÉRICLES,287,0.059288333419408146
2704302,SOFIA MANZANO,181,0.037390900170428135
2704302,VERA,120,0.024789547074316996
2704302,EYMAEL,57,0.011775034860300572
2700102,LULA,9295,86.21649197662555
2700102,JAIR BOLSONARO,890,8.255263890177163
2700102,SIMONE TEBET,321,2.977460346906595
2700102,CIRO GOMES,238,2.207587422317039
2700102,SORAYA THRONICKE,19,0.1762359706891754
2700102,FELIPE D'AVILA,6,0.05565346442816065
2700102,PADRE KELMON,5,0.046377887023467214
2700102,SOFIA MANZANO,3,0.027826732214080326
2700102,VERA,3,0.027826732214080326
2700102,LÉO PÉRICLES,1,0.009275577404693442
2700102,EYMAEL,0,0.0
2709103,LULA,7510,74.61500248385494
2709103,JAIR BOLSONARO,1948,19.354197714853452
2709103,SIMONE TEBET,282,2.8017883755588677
